Topic,Count,Name,Representation,Representative_Docs
13,39,13_gift_setup_music_device,"['gift', 'setup', 'music', 'device', 'speaker', 'trackr', 'work', 'its', 'plug', 'clock']","[""Well, I have kind of given up on setting this up. First, I must admit I am a 50 something technically challenged woman (often times), so maybe it was just me. I easily was able to download the apps and get it to work with my IPhone. It was cool asking Siri to turn it on and off. I really wanted this for Echo and Alexa. Try as I might, I couldn't do it. I downloaded Wink and synced Alexa with Wink. And then synced IHome with Wink. Could not get Alexa to find the smart plug at all (and I spent hours today on and off trying to do this). I will try again tomorrow. However, I will tell you nothing is easy with this. I found no instructions for use with Alexa in the package and had to surf the web for solutions. Seems like a lot of work to be able to simply turn on a light with my phone. Also, I could not get Siri to do this remotely (while I was out and about), so I assume it only works if you are in the proximate area for programming. Seems expensive for what it really gives me."", ""The ECHO FLEX is perfect for my powder room. It plugs directly into an electrical outlet above the vanity sink, and it doesn’t require either (1) a cord, or (2) an accessory shelf to hold it out of the way (above the vanity countertop). Thus it reduces clutter around the sink; and it is safer than a regular Echo or Echo Dot in this location. (You can’t accidentally knock it into a sinkful of water.)<br /><br />The Echo Flex connects through the Alexa app, and does everything that the other Echo devices do. For my household, this means turning lights or tv on and off; setting timers and reminders; asking for local weather or traffic information; checking the time; asking general knowledge questions; doing math and recipe calculations; playing music; and “dropping in” on Echo devices in other rooms (using the Echos as an intercom). The speaker isn't up to audiophile standards for playing music, but it's fine for playing casual background music and for hearing the spoken word.<br /><br />The Echo Flex is especially great for my husband, who is hard of hearing. When he’s in the powder room now, he can hear me when I “drop in” even if the water is running. The Echo Flex is located only about a yard away. (He can’t hear me when I “drop in” to a bedroom device that is located about 15 feet away.)<br /><br />Setup takes about 5 minutes if you have already downloaded the Alexa app. After you plug the Echo Flex in, it advises you to open the Alexa app to complete the setup. The app takes you the rest of the way through setup."", ""UPDATE (2/21/19): So far, my clock is working well. I did buy a second clock, and succeeded in pairing it with my 1st Gen Echo Show. If you make a pairing mistake, you can press the clock's pairing button 5 times to unpair the clock and start over. Oddly, when the Show was correctly paired, the light turned solid orange. The Echo Show is hard to pair because it isn't completely integrated with the Alexa app when it comes to setting up a wall clock. However, for me, having two clocks, with visual timer displays paired to different Echo devices, was worth all the Setup hassles.<br /><br />This ECHO WALL CLOCK does two things that I really want. First, it keeps accurate time by using an Internet connection (through an Echo device) instead of a radio signal (which can malfunction in bad weather or at Daylight Savings Time changes). Second, it gives a bright visual display of the time remaining on all the timers currently set with my first-generation Echo. (Yes, it simultaneously displays the time left on multiple timers.)<br /><br />If my clock continues to work without requiring frequent Bluetooth re-pairing (as other reviewers have reported), I will order a second clock to pair with my Echo Show. The visual time-left display is very useful when I’m timing exercises or post-exercise ice treatments.<br /><br />The instructions warn you NOT to try to move the clock hands. (Other reviewers warn that touching the hands will break the clock, or cause it to tell slightly inaccurate time forever if you succeed in replacing the hands.) It’s too bad that the clock does NOT have a plastic cover over the face--dusting it is going to be a problem. I put mine on a wall, to protect it as much as possible from dust, and from accidentally being knocked over.<br /><br />SETUP PROBLEMS: Out of the box, the clock paired effortlessly with my Echo Show (using the option of asking the Show to set up the clock). However, I ran into a lot of difficulty when I tried to pair it with a second device (a first-generation Echo). The instructions do NOT make it clear that the clock PAIRS WITH ONLY ONE ECHO DEVICE.<br /><br />Probably because I failed to start the second Setup attempt by using the Alexa app to un-pair the clock from the Show, the second attempt failed. It ended with a green light that has no defined meaning in the paper or online setup instructions. Worse, the clock no longer worked with the Show. Still worse, the clock did NOT appear as a device in the Alexa app; and the app did NOT display the clock as a Connected or Bluetooth device under the Show settings.<br /><br />Eventually I found the clock under the settings for the Echo (subject of my second, failed Setup attempt). I was able to unpair it, delete it, and start Setup again. At long last, the clock paired with the Echo, and began working again (with the first-generation Echo).<br /><br />However, I failed in all attempts to use the Show to set up the clock again. Those attempts always concluded with a red error light or with that mysterious green light. At some point, I had to remove the batteries and replace them so that the pairing button on the clock would work. Naturally I now dread having to pair the clock again with any Echo device, should the Bluetooth connection malfunction.<br /><br />SUMMARY: The concept of the Wall Clock is great. I love my clock now, and really do intend to buy a second one, if the clock that I now have continues to work normally. However, I hope that later generations of the Echo Wall Clock will have a covered clock face, and that later versions of the Setup software will have much better integration with the Alexa app.""]"
14,38,14_transmitter_logitech_very_nice,"['transmitter', 'logitech', 'very', 'nice', 'keypad', 'wireless', 'need', 'keyboards', 'great', 'keyboard']","[""Have used this keyboard for many years at work and home and I wouldn't use any other keyboard. It is that comfortable. I would hate to pay the price they are asking for these now. Hate to say this for those of you who want one, but I just bought one for $2.99 from Goodwill. It is well worth it to have a spare on hand; actually have 2 spares, as obviously these are expensive to replace if you buy new. These keyboards have both USB and PS/2 type connectors and two USB ports in the back of the keyboard which I have never used. I tried out the USB ports in the back and they do not work. There could be a couple of reasons for this. One might be that in order for them to function, you might have to use the USB connector for the keyboard, rather than the round PS/2 connector. Another reason is that my keyboard does not connect directly to the computer, but goes through a KVM switch. Through the switch, the keyboard may not receive enough power to power the USB ports. I don't have a USB connector on my KVM switch, so I have to use the PS/2 round connector. The only problem that I have encountered with this keyboard is the feet that elevate the back of the keyboard to a comfortable angle, tend to fall off. I have lost a couple and cannot find replacements. If you are used to a flat keyboard, the tilted ergo keyboard does take some getting used to, but once you have used it for a while, you will never go back to a flat keyboard again. Microsoft has some newer versions of this keyboard, but I don't think they are an improvement and they are expensive."", ""Review update:<br />After using the keyboard for a little while, some of the keys stopped functioning and rolling up or bending the keyboard for storage or moving it, permanently damaged the product. There's no point to a flexible keyboard if it breaks because you bent it slightly. Not a very useful product beyond the novelty. Wouldn't recommend it unless you've been dying to have a quirky unresponsive keyboard you can take with you.<br /><br />------------<br />When I set to order a flexible keyboard, I mainly wanted it for the novelty. That is probably for the best since this keyboard is very unique. It lights up, is bendable and has nice texture to it. However, the keys are a little unresponsive unless you press them from a certain angle. Also the keyboard is a little larger than normal keyboards because of the extra inch and a half of covered wires at the end.<br /> If you are looking for a keyboard which is for gaming or for typing very fast, this is not the keyboard for you. If you want something cool and easy to pack or move, then you will likely love it."", ""This is advertised as an ergonomic keyboard. To me, ergonomic is a keyboard that is split into two slanted halves, like the Microsoft Natural Keyboard. This is a flat keyboard. In spite of that, the keys have a good feel and response. I only have wired keyboards, so I got this so that I could have a wireless if I wanted to use one sometimes, as you are then not confined with a cord. Requires 1 AA battery to operate (not included). At first, I thought they forgot to include the wireless transmitter, but it comes hidden in the battery compartment. This is okay, but there is no place to store it once the battery is installed. Of course, if you are going to store the keyboard and not use it all the time, you wouldn't typically want to leave the battery in anyway. If you want wireless, probably better to get a wireless mouse and keyboard together, as they would probably run off one transmitter, whereas with this keyboard if I want to add a wireless mouse later, it will involve using a second transmitter which would use another USB port. The keyboard is going to be of limited use to me, as I currently use a KVM-switch that allows me to control up to 4 computers with one monitor, one mouse and one keyboard. I would have to upgrade to a KVM switch that takes USB to use the keyboard on more than one computer. This is truly plug and play and I had it operating in no time at all. Seems like it is quality made and should last a while. Made in China of course.""]"
15,38,15_samsung_keyboard_sony_dvd,"['samsung', 'keyboard', 'sony', 'dvd', 'remotes', 'tvs', 'buying', 'wireless', 'replace', 'batteries']","['How can someone create a remote specifically for Apple TV and not have a home button? Completely defeats the purpose of getting a replacement remote if I still need to keep the original remote near by for when I need to use the home button.', 'This GE BACKLIT UNIVERSAL REMOTE CONTROL (Backlit, 8-Device, Graphite, 47510) has terrific bright backlighting, and works with my Samsung TV, but has too many buttons! It’s complicated to use, because most of the buttons (e.g., navigation, channel, volume, mute, menu, etc.) work only in conjunction with specific device and procedure buttons (e.g., TV, DVD, Stream, etc.).<br /><br />With my other remotes, you simply select the Input (Source), and all of the buttons will work to control the display, channels, etc. With the GE remote, you have to press a device/procedure button (e.g., TV, Stream) IN ADDITION TO selecting the Input/Source, or else the control buttons on the remote will NOT work properly.<br /><br />The GE remote works so differently from my other remotes, it’s a chore to learn how to use it. I love the brightly lit display, but that’s not enough to make me want to fiddle with extra buttons all the time.', ""This AMAZON BASICS WIRELESS KEYBOARD (with Touchpad for Smart TV - US Layout (QWERTY)) has the easiest setup I’ve ever encountered for a wireless device. You insert 2 AAA batteries (included) into the keyboard, plug the USB radio receiver into a USB port on your Smart TV, and you’re instantly connected. If for some reason you aren’t automatically connected, you just hit Esc-K to connect.<br /><br />The keyboard works with my Samsung QLED Q7F Smart TV. Not all of the function keys work with every screen--for example, the keyboard’s “Mute” button does NOT mute the TV--but that’s normal for generic controllers like this one that are intended to work with many different wireless devices.<br /><br />The keyboard does everything that my Samsung remote does (for example, switches between apps, sources, calls up the TV settings menu), although it takes a bit of experimentation to learn how to use it. The direction keys near the touchscreen allow you to navigate the TV screen and everything else. If you go to the TV’s Internet area, the touchscreen activates and you see a big arrow cursor that works like a mouse.<br /><br />The keyboard does the one thing that I really wanted. It has a Search button that allows me to search for TV shows, movies, etc. by typing on the keyboard, instead of by navigating around letter-by-letter on an onscreen letterpad. The keyboard does NOT work when I’m using Roku for searches, but that’s normal because the keyboard is designed to connect directly to a Smart TV (not to the TV’s connected accessories).<br /><br />The keyboard does feel cheap, and I wouldn't want to use it as a computer keyboard. However, it's fine for my occasional use as a Smart TV keyboard.<br /><br />NOTE: The wireless adapter is stored at the upper left of the box, inside the folded cardboard. The batteries are on the right.""]"
16,38,16_laptop_netbook_dell_m510,"['laptop', 'netbook', 'dell', 'm510', 'mouse', 'wireless', 'very', 'computer', 'logitech', 'great']","['My son had a MAC which fell and ended up destroying the screen. So, without a computer to bring back to college, we started looking at a replacement. Long story short, with Macs being way to expensive at this economic time, I got him a netbook. Of course, it took some getting used to. One of his his principal complaints was trying to navigate the smaller 10"" netbook. When I saw this Verbatim 96781 Nano Wireless Notebook Optical Mouse I jumped at it. It was small enough that he could leave it plugged into his port without having to disconnect it when he was packing it up to take with him. Given his track record of losing stuff, to me that was a great feature. The ergonomic design of the mouse is not too big or small and fits perfectly for him to use. I know I never see him using the netbook anymore without the wireless mouse, so I know it\'s a tremendous asset for him. I am in the market now for monitor and maybe even a docking station now, so he will be able to actually set up a desk in his dorm with the netbook. The mouse is perfect for his use, it is economically priced, and I think you will be hard pressed to find something better. I rarely rate items here as a 4 star, but I feel I must with the Verbatim. We are very pleased.', ""This is a reasonably priced wireless mouse. Fits well in my hand and is super easy to maneuver. I have been using this mouse for over a month now and I have to admit, it's one of the nicest mice I have ever used. I do a lot of spreadsheet details for work and this mouse is quick and accurate. Highly recommend if you are in the market for a new mouse."", ""Up-Date. I now have been using this Dell wireless mouse for a few weeks.<br />Since its shorter and a big hump in the middle with the index finger roller, I have been having all of pain in my right Wrist, and my Wrist bone has been getting swollen.<br />I can only attribute this problem to the Dell mouse!<br />I'm not sure it is caused from this mouse yet, but this has never happened to me before..!!!<br />I'll will be going back to my Apple mouse,and if the pain does go away, I will know for sure, its this mouse that caused the pain!<br />~~~~~~~~~~~~~~~~~~~~~~~~~~~~<br />When I installed the Dell Mouse to my computer. the arrow was moving VERY fast all over the screen.I had to go into tools to slow it way down.<br />I'm a women with small hands long fingers and it seems to work for me.<br />Although this seems to be about 1 inch shorter then my apple mouse, and thicker. It will take a little getting use to!<br />I also have to get use to the the small roller to scroll the page.<br /><br />The reason I got the Dell mouse was, it said I will not have to change the battery as often , which is a pain in neck for me<br />This holds one double A batterie. To open , you have to pinch the sides buttons together, but the two tops still do not come off that easy. Then you will notice, the top has come a bit apart, pull up on each side..<br /><br /> If I end up going back to my apple, I'll be back for another review!""]"
17,38,17_useful_reviews_fitbit_nice,"['useful', 'reviews', 'fitbit', 'nice', 'very', 'purchased', 'little', 'fun', 'smooth', 'ordered']","[""I like to switch out my Versa FitBit bands depending on what I'm wearing. These bands work well with the Versa 3. I have only worn 2 of them, but I tried them and they all fit securely onto my FitBit. I tugged on them once they were attached to make sure that they were on there good and there were no problems. These are more like a traditional watch band than the usual Versa 3 band, however, the excess goes back under the band like the Versa 3 official one. It's comfortable to wear. I like having more options!"", ""I have a new Fitbit Versa 3 and am enjoying changing my bands every so often. This set of 3 bands fit my Versa well. The first time I put it on, one side popped off after about thirty minutes. I can only assume that it was user error on my part and I hadn't put it in properly. I've been wearing this for several days now and have not had any further trouble. You can fasten the band with any of the holes in the band which is pretty nice. I have found that I have to apply pressure and use both hands (one under the band and one over it) to get it to snap in place. My Fitbit Alta had a similar deal. The assortment of colors is nice, too."", ""This wrist band is a big improvement on the silicone bands that I have for my Fitbit Alta (not HR). It fits my Fitbit very well. The band is really large. I have a large wrist and usually link bands don't fit at all. I was able to take 2 links out and it was still a little loose, but with removing the 3rd link, it was too tight. Removing the links was just like the directions showed, but I found it a bit difficult to open up each link that I was removing. What I didn't care for about the wrist band was that it wasn't a simple process to put it on or take it off. It wasn't hard, but it was a pain. You have to slide it on/off to the actual Fitbit rather than using a clasp on the band. It's nice looking, but takes more time than my previous band to put on.""]"
18,37,18_sony_quality_beautiful_excellent,"['sony', 'quality', 'beautiful', 'excellent', 'panasonic', 'had', 'havent', 'lcd', 'great', 'have']","[""We've had this TV a little more than 2 weeks. When the price dropped to $1997 on Amazon, I snapped it up. For the money, it is the best 4K TV out there. The smart controls work great, allowing you to use apps or browse the Internet on the TV, including side-by-side while you are watching TV. There's only a little 4k stuff out, mostly on Netflix - oceans, desserts, underwater world, etc. They are fantastic! Eventually, there will be more 4k. Haven't tried HDR yet. But, one of the reasons I got the TV was because it was one of ones that had HDR.<br /><br />I used rtings' (http://www.rtings.com/tv/reviews/samsung/js8500/settings) calibration settings to sharpen the picture. Rtings really likes this TV: http://www.rtings.com/tv/reviews/by-size/65-inch/best. It is their second best after the much pricier LG OLED. This review influenced my purchase.<br /><br />One of the main reason I got this TV was to watch movies. It is pretty much theater quality if you can sit within about 8 1/2 feet of the screen. You start to get the immersion effect when you are a little less the 9 feet away. The picture is still excellent from 10 feet, but you don't quite get the immersion effect. When the shots in the movie are bright, sunny and colorful, the view is spectacular - wow! When the shots are dark you see much more detail than I saw on my previous TV, which was a 2010 47&#34; 1080p LG. It was a good TV that I had professionally calibrated. But, it was no where near the quality of this TV: a 5-6 vs this one that's a 9-10.<br /><br />I thought about the Samsung JS9000, which is $1,000 more - pretty much just for the curved screen. Didn't think it was worth it. The LG OLED 65&#34; is better. Pretty much every review says so. But, it's priced at $4k, which is more than I wanted to spend.<br /><br />For sports, everything is really good. No judder that I've noticed. Daytime watching is plenty bright enough. Amazing picture, especially when the field is in full sunshine. I haven't watched a night football game yet.<br /><br />My wife says: &#34;It's awesome!&#34;."", 'Got this, my first HDTV, for $749 total delivered. Seems like a great deal. Has the AA01 panel:<br /><br />PROS: Very good HD picture, which becomes stunning with good source material (after calibrating the picture); excellent SD picture (better than the good CRT TV it replaced); tons of controls for picture calibration; streaming Netflix is great, the Pandora app has become my household\'s new source for music of all types, either through the TV speakers or piped to the stereo; ethernet makes upgrading firmware and internet apps very easy; lots of connectivity; easy to set up; light; swivel stand works well; power efficient; doesn\'t get hot; no noise or buzz; no dead or stuck pixels; has analog audio out jack (important for old A/V receivers); functions as an outstanding computer monitor (with DVI-to-HDMI cable); glossy screen helps picture and repels dust; can\'t even notice the red ""Touch of Color"" design.<br /><br />CONS: Though black levels are generally very good, when the screen and room are both dark you can see some flashlighting around the corners and some bleedthrough of the backlight; very fast motion on screen will cause brief pixelization and loss of picture clarity (has to be very fast motion -- football and other sports look great); picture quality degrades quickly as you move off-center (though not as much as in some other LCD TVs); requires major picture calibration out of the box (I used settings found in reviews of this TV on the web, tweaked them a bit to preference, and the picture\'s much better, though it\'s hard to get it right); most of the current internet apps are useless; the factory preset modes are useless.<br /><br />Overall it\'s a very good TV, with a picture that can sometimes be mesmerizing. And I\'m glad I paid a bit extra for the C650\'s internet connectivity and glossy screen. But my main complaints - backlight bleedthrough, motion pixelization and off-center picture quality - lead me to believe that my next TV might be a plasma. Sound is adequate, neither a pro or con really. Four stars.', ""Lots of research -<br />Needed a 47 inch HDTV for living room - old style TV shelves built in to include TV position that was too.<br />Based on reviews - caught a quick sales price opportunity and pulled the trigger. So happy with purchase.<br />1. Had to search online for the best picture calibration. Out of the box the picture was not good. Comparing it to our LG 60 plasma.<br />2. Wanted and LED/LCD type TV - but a good picture and price. Our LG plasma has been flawless.<br />3. Wanted a thin TV with a good picture for 3D and wanted it to be passive this time. we have the active 3D downstairs.<br />So far the 8600 has meet our expectations and exceeded some. Once we got the picture calibrated CNET review.... its all been very good.<br />TV is lightweight - we're currently using the TV stand but have plans to mount it on an articulating bracket once we can modify the TV cubby.<br />Remote is their magic remote. our first experience w/ the magic remote was with our plasma (2010), used it twice and stored it.<br />since this was the only remote, had no choice. It was easy to use and get the 8600 updated (firmware), online - Ethernet and change settings for calibration. but since then we only use the remote to turn on the TV since we have DirecTV and use that remote for the channels plus have a Harman Kardon receiver that we use for volume etc. most likely we'll be setting one or both of those up as universal remotes. only make sense.<br /><br />we only used the audio speakers on the 8600 for two weeks, decent sounding but not going to fill the room. we use our Harman Kardon as the workhorse now. once you go HDMI and the receiver the 8600 speakers become inop.<br /><br />the good news - a decently strong person can lift the set by themselves to set it in position or move it to make changes. the picture is good, 3D is decent, not eye popping like active 3D does but good enough for our living room and much cheaper with almost free 3D passive glasses.<br /><br />con - not much we can say.... wish I had got the 55&#34; but the extra few hundred would have put me in the dog house especially when the TV would not have fit inside the tv cubby.""]"
19,37,19_recommend_works_quality_excellent,"['recommend', 'works', 'quality', 'excellent', 'nothing', 'pay', 'best', 'backup', 'great', 'product']","['great quality and price.', 'Good quality for the price', 'Good quality great price']"
20,35,20_cable_cables_ethernet_connection,"['cable', 'cables', 'ethernet', 'connection', 'comcast', 'connectors', 'port', 'router', 'network', '40gbps']","['This cable works great. The right angle is nice and I wish more of my cables had this. For most people using cables at home or office the angle helps you avoiding breaking it in tight areas. Data speed as fast as any other cables I’ve tried. Feels like a quality made cable.', ""I am having trouble getting this cable to remain inserted into the back of my Yamaha receiver. There doesn't seem to be any sort of positive click to hold it in place, and when I have had to move the receiver to install some other cable or adjust something, the toslink cable invariably falls out of the port on the back of the receiver. I'm 65 years old and overweight and have a bad knee, so rolling around on the floor trying to get this cable reattached to the receiver is no picnic.<br />I need to update this review. apparently, I damaged the first cable while trying to remove it from the back of the receiver. I have since replaced the cable with a new one, same model, and it seats itself into the receiver and stays there with no problem."", 'This VEETCOM CAT8 ETHERNET CABLE (15FT, High Speed, 26AWG, 40Gbps, 2000Mhz, with Gold Plated RJ45 Connector, Heavy Duty, Weatherproof, S/FTP, UV Resistant) really makes a difference in the speed of my Comcast home network (as shown by Ookla Speedtest results). Installing the cable was a simple matter of swapping it for my existing Ethernet cable--the job didn’t even require a system reboot. It was the easiest network speed “upgrade” ever!<br /><br />The cable is no beauty, except for the gold-plated connectors. The cable is round, black, and feels like rubber. But who cares about appearances, when it makes so much difference in network performance? My network had become sluggish, and was no longer achieving the promised Comcast speeds. Now it’s much better.<br /><br />This is a 15-foot cable. It’s much longer than I actually need for my router to gateway connection.']"
21,32,21_quality_recommend_price_awesome,"['quality', 'recommend', 'price', 'awesome', 'is', 'overall', 'cool', 'box', 'great', 'nice']","[""I'm so impressed with this portable speaker for its size, sound, battery life and price! It produces great sound for just being such a small one speaker system, and it gets nice and loud without distorting, which is a huge plus. I was initially worried about the durability because I was afraid I'd punch through the speaker or something, especially toting it around, but no, it's held up well so far. I've been using it now for about 8 or 9 months with absolutely no trouble whatsoever. Also, it's battery time is good and standby battery is just phenomenal. Highly recommended."", ""This speaker is much larger than expected. We've been using this in the hot tub. We've had water proof speakers before, but never one that could actually be put in the water and float around. We've put it directly in the hot tub and we've put it in the cup holders. What I really like about this is that there is all around sound. You don't have to position it with the speakers facing a certain direction just to hear it. You can hear it from all directions! The sound is pretty good, too. My daughter has used this in the backyard with friends and it was more than adequate. We have found it easier to control the volume with our phones than the actual device, but you can control it from the speaker, too. The light feature is fun at night. Our hot tub light bulb is out and needs to be replaced and this does the job for us. It was easy to pair with our phones. Overall, we are very happy with this new speaker!"", 'This is a great little speaker. Has really good sound for its size. Very good battery life as well. There are more expensive speakers available that have better sound quality - but this one is really good for the price.']"
22,31,22_happy_great_nice_too,"['happy', 'great', 'nice', 'too', 'very', 'picture', 'keeps', 'older', 'for', 'vinyl']","['Generally speaking, I like the cover. I wish, though, that the corners were a bit deeper so they gripped the IPad better. I think the corners should click in, that would mean they’re being held tight. But they don’t and the IPad can be released too easily. Fortunately, I don’t have to carry my IPad around like some people do for their job. I use mine mostly at a table or desk. I’m happy that this cover has 3 grooves (instead of the 2 that many covers offer) to hold the IPad at different angles while being worked on, but it would be nice if they were deeper because when working on the IPad when it’s in the vertical position, it sometimes slides out of the groove and slams down.', ""This is a hard cover case , which will protect your ipad.<br />The outside looks like a gray tweed, like a hard notebook I used in school years ago.<br /><br />The inside is purplish color that is soft..What holds you ipad, is a case that is white hard plastic.<br />When you close the cover it puts your ipad to sleep.<br /><br />The outside cover can be adjusted so you can have your ipad at any angle.<br />If it's more at up angle you can use a small key board on it.<br /><br />This cover does it all.<br />Personally I like a softer more flexible cover..I guess it's all what your use to.<br /><br />I gave this a 4 star, cause it's not as flexible as I like!"", ""To be honest, I got my IPAD about 2 months ago and purchased a bluetooth keyboard case (from Amazon of course). I was finding it to be a bit cumbersome to travel locally with, like going to the stores (although I admit it is nice to be able to type on a keyboard). Anyway, I was looking for an alternative case to be able to use as just a case (nothing to do with a keyboard). I saw this offered to me in Vine and figure I could give it an honest review. To start with, I didn't know if I would like the red plaid design of the cover. It is just gorgeous and I am so happy I got this. It looks smart (for either a man or a woman). The cover in general is padded and my IPAD2 is well protected. Inside there is a secure holders which snuggly fits my IPAD and on the alternate side on the cover is a side pocket for document storage and an elastic band which will keep any other items in place (i.e. a small calculator etc). I would see this as a great accessory for a business person who would like a little bit of storage with their case and it behaves almost like a small portfolio case. The back corner of the cover has a perfectly fit hole which allows you to continue to use the camera feature while the IPAD 2 stays snug in the case. I honestly have nothing but good things to say about the Marco cover. It looks smart and protects my IPAD2, all while giving me some handy side features. To top it all off it has the Smart magnetic feature which puts the IPAD to sleep when closed and wakes it up when opened (saves battery life). I highly recommend, this is a great cover for all!!!""]"
